"*ID（ID列は編集不可・新規で利用者登録の場合は空欄）","*ログインID","パスワード（半角8文字以上で、アルファベットと数字を混在）","*部署コード（既存部署の部署コードを入力。部署コード入力時は部署名空欄可。部署コード、部署名ともに入力時は部署コード入力値を利用者に設定します。","*部署名（部署コード空欄時は入力必須。存在しない部署名入力時は部署情報の登録も行います。）","*システム利用権限 （システム管理者 現場責任者 一般　のいずれかを入力）","勤務地 （東京 横浜 大阪 埼玉 東京開発センター 名古屋 Aゾーン　a店 Aゾーン　b店 Aゾーン　c店 Aゾーン　d店 本社 ddd@test.com 北海道 東京都千代田区 東京都港区 東京都町田市 神奈川県横浜市青葉区　のいずれかを入力）","職制 （次長 課長 主任 一般 係長 新人 部長 役員 その他 マネージャー ゾーン管理者 SD PL PM シニアマネージャー 副部長　から空白区切りで複数入力可）","肩書き","上司（上司となる利用者のログインIDを空白区切りで複数入力可）","*氏","名","氏カナ","名カナ","生年月日（yyyy/mm/dd）","性別(0:男性　1:女性　いずれかを入力)","*メールアドレス","電話番号１","電話番号２","FAX番号","郵便番号","都道府県","住所１","住所２（建物より後）","採用年月（yyyy/mm/dd）但し、ddは常に1日で登録されます","卒業年月（yyyy/mm/dd）但し、ddは常に1日で登録されます","備考","利用者コード","退職フラグ（退職フラグ者として登録する場合1を入力）","ログイン中止（Leafへのログインを中止する場合1を入力）","削除（Leafから削除する場合1を入力）","適用開始日（yyyy/mm/dd）","予備１ （講師登壇可能（管理職向け） 講師登壇可能（中堅層向け） 講師登壇可能（若手層向け） 講師登壇可能（新人向け） 講師登壇不可　のいずれかを入力）","予備２ （正社員（総合職） 正社員（技術職） 契約社員（総合職） 契約社員（技術職） 地域限定社員　のいずれかを入力）","予備３","予備４","メールアドレス２","パスワード強制変更（次回ログイン時に強制変更させる場合1を入力）"
"id","login_id","password","division_cd","division_id","role_id","location_id","office_organization_id","post","manager_user_id","lastname","firstname","lastname_kana","firstname_kana","birthday","sex","mail_address","tel1","tel2","fax","zip_code","prefecture","address1","address2","initiation_year_month","graduation_year_month","memo","member_cd","retired_flg","login_stoped","del_flg","date_from","first_reserve_id","second_reserve_id","third_reserve","fouth_reserve","mail_address2","password_change_flg"
"11","t10","","b0101","東京本社 総務部","一般","東京","係長","係長","t03","高橋","さくら","トウキョウ","ジュウロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-10","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"12","t11","","b0101","東京本社 総務部","一般","東京","係長","係長","t03 t2015","山口","結愛","トウキョウ","ジュウイチロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-11","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"13","t12","","b0101","東京本社 総務部","一般","東京","課長","課長","t02","佐々木","颯真","トウキョウ","ジュウニロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-12","","","","2016/03/14","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"14","t13","","b0101","東京本社 総務部","一般","東京","主任","主任","t02","小林","咲良","トウキョウ","ジュウサンロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-13","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"15","t14","","b0101","東京本社 総務部","一般","東京","主任","主任","t03","山口","咲良","トウキョウ","ジュウシロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-14","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"16","t15","","","埼玉支社 総務部","一般","東京","主任","主任","s02","田中","大和","トウキョウ","ジュウゴロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-15","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"17","t16","","it-service-presale","ITサービス事業部 プリセールス課","一般","東京都千代田区","一般","","t02 t2015","小池","陽葵","トウキョウ","ジュウロクロウ","1990/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","tokyo-16","","","","2015/09/28","講師登壇可能（新人向け）","","","",""
"18","t17","","it-service-presale","ITサービス事業部 プリセールス課","一般","東京都千代田区","一般","","t04","佐々木","悠真","トウキョウ","ジュウナナコ","1990/01/01","1","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","tokyo-17","","","","2015/09/28","講師登壇可能（新人向け）","正社員（技術職）","","",""
"19","t18","","it-service-presale","ITサービス事業部 プリセールス課","一般","東京都千代田区","課長","課長","t05","山田","さくら","トウキョウ","ジュウハチロウ","1990/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","tokyo-18","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"20","t19","","it-service-presale","ITサービス事業部 プリセールス課","一般","東京都千代田区","一般","","t02","山田","琉生","トウキョウ","ジュウクロウ","1990/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","tokyo-19","","","","2015/09/28","講師登壇可能（新人向け）","","","",""
"21","t20","","b01030202","東京本社 システム本部 運用管理システム部 管理2課","一般","北海道","一般","","t08 t2015","高橋","悠斗","トウキョウ","ニジュウロウ","1990/01/01","0","ddd@test.com","","","","","","","","2001/01/01","2001/01/01","","tokyo-20","","","","2015/09/28","講師登壇可能（新人向け）","正社員（技術職）","","",""
"22","t21","","b01030202","東京本社 システム本部 運用管理システム部 管理2課","一般","東京開発センター","一般","","t09","田中","誠","トウキョウ","ニジュウイチロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-21","","","","2015/09/28","講師登壇可能（新人向け）","正社員（技術職）","","",""
"23","t22","","b01030202","東京本社 システム本部 運用管理システム部 管理2課","一般","東京","一般","","t03","飯山","琉生","トウキョウ","ニジュウニロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-22","","","","2015/09/28","講師登壇可能（新人向け）","正社員（技術職）","","",""
"24","t23","","b01030201","東京本社 システム本部 運用管理システム部 管理1課","一般","東京","一般","","t03","田中","蓮","トウキョウ","ニジュウサンロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-23","","","","2015/09/28","講師登壇可能（新人向け）","正社員（技術職）","","",""
"26","t25","","b0101","東京本社 総務部","一般","東京","一般","","t03","山口","誠","トウキョウ","ニジュウゴロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-25","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"27","t26","","b0102","東京本社 営業部","一般","東京","役員 部長","部長","","中村","陽翔","トウキョウ","ニジュウロクロウ","1967/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-26","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"28","t27","","b010302","東京本社 システム本部 運用管理システム部","一般","東京","部長","部長","","佐藤","大和","トウキョウ","ニジュウナナコ","1972/01/01","1","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-27","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"29","t28","","b0102","東京本社 営業部","一般","東京","次長","次長","","高橋","蓮","トウキョウ","ニジュウハチロウ","1972/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-28","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"30","t29","","b0102","東京本社 営業部","一般","東京","課長","課長","t27","佐々木","大翔","トウキョウ","ニジュウクロウ","1978/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-29","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"31","t30","","b0102","東京本社 営業部","一般","東京","課長","課長","t27","加藤","樹","トウキョウ","サンジュウロウ","1978/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-30","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"32","t31","","b0102","東京本社 営業部","一般","東京","課長","課長","t28","鈴木","美月","トウキョウ","サンジュウイチロウ","1978/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-31","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"33","t32","","b0102","東京本社 営業部","一般","東京","課長","課長","t28","根岸","花","トウキョウ","サンジュウニロウ","1978/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-32","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"34","t33","","b0102","東京本社 営業部","一般","東京","係長","係長","t27","吉田","誠","トウキョウ","サンジュウサンロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-33","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"35","t34","","b0102","東京本社 営業部","一般","東京","係長","係長","t27","中村","咲良","トウキョウ","サンジュウシロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-34","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"36","t35","","b0102","東京本社 営業部","一般","東京","係長","係長","t28","山口","陽翔","トウキョウ","サンジュウゴロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-35","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"37","t36","","b0102","東京本社 営業部","一般","東京","係長","係長","t28","山田","大和","トウキョウ","サンジュウロクロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-36","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"38","t37","","b0102","東京本社 営業部","一般","東京","主任","主任","t27","渡辺","凛","トウキョウ","サンジュウナナコ","1987/01/01","1","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-37","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"39","t38","","b0102","東京本社 営業部","一般","東京","主任","主任","t27","加藤","花","トウキョウ","サンジュウハチロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-38","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"40","t39","","b0102","東京本社 営業部","一般","東京","主任","主任","t28","高橋","悠真","トウキョウ","サンジュウクロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-39","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"41","t40","","b0102","東京本社 営業部","一般","東京","主任","主任","t28","佐々木","怜","トウキョウ","ヨンジュウロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-40","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"42","t41","","b0102","東京本社 営業部","一般","東京","一般","","t27","根岸","凛","トウキョウ","ヨンジュウイチロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-41","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"43","t42","","b0102","東京本社 営業部","一般","東京","一般","","t27","佐藤","樹","トウキョウ","ヨンジュウニロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-42","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"44","t43","","b0102","東京本社 営業部","一般","東京","一般","","t27","山口","颯真","トウキョウ","ヨンジュウサンロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-43","","","","2015/09/28","","正社員（総合職）","","",""
"45","t44","","b0102","東京本社 営業部","一般","東京","一般","","t27","飯田","さくら","トウキョウ","ヨンジュウシロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-44","","","","2015/09/28","","正社員（総合職）","","",""
"46","t45","","b0102","東京本社 営業部","一般","東京","一般","","t27","加藤","蓮","トウキョウ","ヨンジュウゴロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-45","","","","2015/09/28","","正社員（総合職）","","",""
"47","t46","","b0102","東京本社 営業部","一般","東京","一般","","t28","飯田","大翔","トウキョウ","ヨンジュウロクロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-46","","","","2015/09/28","","正社員（総合職）","","",""
"48","t47","","b0102","東京本社 営業部","一般","東京","一般","","t28","根岸","誠","トウキョウ","ヨンジュウナナコ","1990/01/01","1","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-47","","","","2015/09/28","","正社員（総合職）","","",""
"49","t48","","b0102","東京本社 営業部","一般","東京","一般","","t28","伊藤","美月","トウキョウ","ヨンジュウハチロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-48","","","","2015/09/28","","正社員（総合職）","","",""
"50","t49","","b0102","東京本社 営業部","一般","東京","一般","","t28","小池","琉生","トウキョウ","ヨンジュウクロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-49","","","","2015/09/28","","正社員（総合職）","","",""
"51","t50","","b0102","東京本社 営業部","一般","東京","一般","","t28","佐々木","健斗","トウキョウ","ゴジュウロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-50","","","","2015/09/28","","正社員（総合職）","","",""
"52","o01","","b0301","大阪支社 総務部","一般","大阪","部長","部長","","山本","樹","オオサカ","イチロウ","1967/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-01","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"53","o02","","b0301","大阪支社 総務部","一般","大阪","次長","次長","o01","高橋","花","オオサカ","ジロウ","1972/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-02","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"54","o03","","b0301","大阪支社 総務部","一般","大阪","次長","次長","o01","高橋","怜","オオサカ","サブロウ","1972/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-03","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"55","o04","","b0301","大阪支社 総務部","一般","大阪","課長","課長","o02","田中","琉生","オオサカ","シロウ","1978/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-04","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"56","o05","","b0301","大阪支社 総務部","一般","大阪","課長","課長","o02","佐々木","大和","オオサカ","ゴロウ","1978/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-05","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"57","o06","","b0301","大阪支社 総務部","一般","大阪","課長","課長","o03","山田","芽依","オオサカ","ロクロウ","1978/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-06","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"58","o07","","b0301","大阪支社 総務部","一般","大阪","課長","課長","o03","伊藤","陽翔","オオサカ","ナナコ","1978/01/01","1","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-07","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"59","o08","","b0301","大阪支社 総務部","一般","大阪","係長","係長","o02","山本","悠真","オオサカ","ハチロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-08","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"60","o09","","b0301","大阪支社 総務部","一般","大阪","係長","係長","o02","渡辺","悠斗","オオサカ","クロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-09","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"61","o10","","b0301","大阪支社 総務部","一般","大阪","係長","係長","o03","高橋","咲良","オオサカ","ジュウロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-10","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"62","o11","","b0301","大阪支社 総務部","一般","大阪","係長","係長","o03","加藤","芽依","オオサカ","ジュウイチロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-11","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"63","o12","","b0301","大阪支社 総務部","一般","大阪","主任","主任","o02","伊藤","凛","オオサカ","ジュウニロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-12","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"64","o13","","b0301","大阪支社 総務部","一般","大阪","主任","主任","o02","渡辺","大翔","オオサカ","ジュウサンロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-13","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"65","o14","","b0301","大阪支社 総務部","一般","大阪","主任","主任","o03","渡辺","大和","オオサカ","ジュウシロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-14","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"66","o15","","b0301","大阪支社 総務部","一般","大阪","主任","主任","o03","伊藤","大翔","オオサカ","ジュウゴロウ","1987/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-15","","","","2015/09/28","講師登壇可能（若手層向け）","正社員（総合職）","","",""
"67","o16","","b0301","大阪支社 総務部","一般","大阪","一般","内定者","o02","鈴木","陽翔","オオサカ","ジュウロクロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-16","","","","2015/09/28","","","","",""
"68","o17","","b0301","大阪支社 総務部","一般","大阪","一般","","o02","中村","蓮","オオサカ","ジュウナナコ","1990/01/01","1","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-17","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"69","o18","","b0301","大阪支社 総務部","一般","大阪","一般","","o02","小林","琉生","オオサカ","ジュウハチロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-18","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"70","o19","","b0301","大阪支社 総務部","一般","大阪","一般","","o02","松本","悠真","オオサカ","ジュウクロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-19","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"71","o20","","b0301","大阪支社 総務部","一般","大阪","一般","","o02","山本","凛","オオサカ","ニジュウロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-20","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"72","o21","","b0301","大阪支社 総務部","一般","大阪","一般","","o03","山口","大和","オオサカ","ニジュウイチロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-21","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"73","o22","","b0301","大阪支社 総務部","一般","大阪","一般","","o03","鈴木","結愛","オオサカ","ニジュウニロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-22","","","","2015/09/28","講師登壇可能（新人向け）","正社員（総合職）","","",""
"74","o23","","b0301","大阪支社 総務部","一般","大阪","一般","","o03","山本","悠斗","オオサカ","ニジュウサンロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-23","","","","2015/09/28","","正社員（総合職）","","",""
"75","o24","","b0301","大阪支社 総務部","一般","大阪","一般","内定者","o03","田中","結愛","オオサカ","ニジュウシロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-24","","","","2015/09/28","","","","",""
"76","o25","","b0301","大阪支社 総務部","一般","大阪","一般","内定者","o03","小池","颯真","オオサカ","ニジュウゴロウ","1990/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-25","","","","2015/09/28","","","","",""
"77","o26","","b0302","大阪支社 営業部","一般","大阪","部長","部長","","田中","樹","オオサカ","ニジュウロクロウ","1967/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-26","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"78","o27","","b0302","大阪支社 営業部","一般","大阪","次長","次長","o26","小林","大和","オオサカ","ニジュウナナコ","1972/01/01","1","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-27","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"79","o28","","b0302","大阪支社 営業部","一般","大阪","次長","次長","o26","山口","琉生","オオサカ","ニジュウハチロウ","1972/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","osaka-28","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"80","o29","","it-service-expert","ITサービス事業部 エキスパート営業課","一般","東京都港区","課長","課長","o27","田中","悠真","オオサカ","ニジュウクロウ","1978/01/01","0","admin@leaf.com","","","","","","","","2001/01/01","2001/01/01","","osaka-29","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
